epoch,train_loss,train_accuracy,val_accuracy,val_macro_f1
1,1.70774640,0.33124019,0.38461538,0.23180099
2,1.29714271,0.36734694,0.36630037,0.22853360
3,1.28944188,0.37362637,0.37728938,0.26756639
4,1.27922321,0.38618524,0.41758242,0.29964127
5,1.23918897,0.40816327,0.42124542,0.32103576
6,1.21582240,0.42386185,0.46153846,0.34682540
7,1.20117554,0.44662480,0.43589744,0.32954971
8,1.18602017,0.44034537,0.43223443,0.30691853
9,1.17525998,0.50000000,0.57509158,0.44379326
10,1.12806973,0.50000000,0.46153846,0.32438086
11,1.10533638,0.51726845,0.52747253,0.39763239
12,1.11270348,0.51648352,0.54212454,0.40717306
13,1.08052825,0.54788069,0.40293040,0.23816075
14,1.05566013,0.55808477,0.50915751,0.39638987
15,1.04145367,0.56671900,0.61904762,0.47654239
16,0.99352078,0.60361068,0.67032967,0.50883341
17,0.92988015,0.62244898,0.57875458,0.43712308
18,0.88623347,0.65384615,0.68131868,0.51574315
19,0.87572750,0.66248038,0.63736264,0.47416619
20,0.82268770,0.69858713,0.54212454,0.38271154
21,0.71547765,0.74489796,0.75457875,0.57978613
22,0.66750969,0.75667190,0.56410256,0.33925091
23,0.70171360,0.75745683,0.77289377,0.59285102
24,0.58395493,0.80455259,0.71428571,0.54942947
25,0.63735316,0.77943485,0.78021978,0.59421531
26,0.54451392,0.81004710,0.82417582,0.63045268
27,0.48209724,0.83673469,0.77289377,0.59647697
28,0.48302510,0.83359498,0.78021978,0.60328681
29,0.48357134,0.83202512,0.80952381,0.62221432
30,0.44959414,0.83202512,0.78021978,0.59385359
31,0.39977643,0.86656201,0.82783883,0.63177374
32,0.38396632,0.86263736,0.86080586,0.66098950
33,0.39370204,0.87362637,0.85347985,0.65654777
34,0.37492589,0.87284144,0.80586081,0.62210607
35,0.38476974,0.87127159,0.76556777,0.58037378
36,0.41820597,0.84536892,0.83516484,0.64763646
37,0.36470085,0.87676609,0.84615385,0.65011925
38,0.32289989,0.88618524,0.86813187,0.66879356
39,0.26551618,0.91130298,0.86446886,0.66593575
40,0.24711240,0.91208791,0.86813187,0.67112341
41,0.27570405,0.90109890,0.83882784,0.67589859
42,0.26416752,0.91522763,0.75091575,0.60997427
43,0.28014096,0.90031397,0.83516484,0.67302632
44,0.23444655,0.91679749,0.86446886,0.66894018
45,0.23417751,0.91758242,0.83882784,0.64599325
46,0.23322719,0.92229199,0.84981685,0.65452660
47,0.18103154,0.93563579,0.85714286,0.68838481
48,0.20223586,0.92778650,0.82417582,0.66142988
49,0.19047776,0.93328100,0.78754579,0.61092844
50,0.21162373,0.93799058,0.73626374,0.58589238
