epoch,train_loss,train_accuracy,val_accuracy,val_macro_f1
1,1.51762450,0.33281005,0.34065934,0.12704918
2,1.35905982,0.34615385,0.36996337,0.26291547
3,1.27639086,0.37519623,0.42490842,0.32075528
4,1.30618545,0.36420722,0.42124542,0.31510154
5,1.25823077,0.39324961,0.44688645,0.30363539
6,1.24474423,0.37833595,0.40659341,0.27038570
7,1.26495178,0.38383046,0.39560440,0.23299639
8,1.21309976,0.41758242,0.38461538,0.25363987
9,1.21649271,0.41444270,0.47985348,0.37136107
10,1.19671649,0.42700157,0.47985348,0.36437108
11,1.18890529,0.45682889,0.40293040,0.28179470
12,1.15494402,0.46860283,0.46886447,0.35111393
13,1.19832052,0.42857143,0.40293040,0.25545174
14,1.17782487,0.45447410,0.54578755,0.41558024
15,1.12863358,0.50549451,0.52014652,0.39665771
16,1.10981607,0.50392465,0.48717949,0.36086563
17,1.11809346,0.51334380,0.46886447,0.34282593
18,1.09937685,0.51020408,0.49816850,0.36625221
19,1.06813928,0.54160126,0.53846154,0.41013724
20,1.00487088,0.58398744,0.60805861,0.47136515
21,0.95644579,0.62244898,0.57875458,0.44186239
22,0.92642491,0.63343799,0.65934066,0.49535796
23,0.97365995,0.61459969,0.42857143,0.30923820
24,0.92111485,0.64050235,0.64835165,0.48913826
25,0.87234638,0.65698587,0.58974359,0.43595378
26,0.76541541,0.72056515,0.69230769,0.52494226
27,0.65715189,0.77472527,0.78021978,0.59808232
28,0.58888367,0.79120879,0.80952381,0.62313339
29,0.55080973,0.81868132,0.83516484,0.64034779
30,0.56056756,0.81711146,0.71062271,0.57783988
31,0.54772113,0.80847724,0.84249084,0.64658910
32,0.43768752,0.84065934,0.75457875,0.58156246
33,0.43348263,0.85007849,0.82417582,0.63180822
34,0.43394904,0.85007849,0.82783883,0.66482755
35,0.43591468,0.86028257,0.85347985,0.65467640
36,0.41782522,0.85007849,0.78754579,0.60298479
37,0.39209767,0.86891680,0.83882784,0.64419696
38,0.35984413,0.86970173,0.85347985,0.65598949
39,0.36831807,0.87048666,0.84249084,0.64569022
40,0.34402398,0.88540031,0.86446886,0.66458104
41,0.30944209,0.89089482,0.85347985,0.65738579
42,0.31491431,0.89481947,0.84249084,0.67716222
43,0.33558983,0.88226060,0.86446886,0.69379788
44,0.29476907,0.89403454,0.83882784,0.64615428
45,0.29582056,0.90266876,0.85714286,0.65846751
46,0.28203463,0.89952904,0.81684982,0.65536487
47,0.25964139,0.90973312,0.85714286,0.65833549
48,0.30096783,0.89638932,0.85347985,0.72715194
49,0.27476123,0.90580848,0.83516484,0.64685411
50,0.26949110,0.90737834,0.85714286,0.66008186
