epoch,train_loss,train_accuracy,val_accuracy,val_macro_f1
1,1.81682481,0.28571429,0.27472527,0.13827898
2,1.45510091,0.25510204,0.28205128,0.19480395
3,1.45043353,0.23783359,0.17948718,0.17328778
4,1.42621029,0.33359498,0.24908425,0.23844587
5,1.48422387,0.33830455,0.40293040,0.32575414
6,1.40054866,0.31554160,0.30769231,0.25315524
7,1.44736404,0.28100471,0.29670330,0.27982166
8,1.39858997,0.33045526,0.29304029,0.25258892
9,1.39390782,0.33751962,0.28571429,0.27403648
10,1.38119656,0.31554160,0.35531136,0.30697032
11,1.33799035,0.36734694,0.35531136,0.31115663
12,1.38600354,0.33281005,0.29304029,0.28379467
13,1.33096802,0.32653061,0.27472527,0.26071752
14,1.36886509,0.38147567,0.38827839,0.32617002
15,1.31422530,0.37362637,0.31135531,0.28452706
16,1.35422909,0.33437991,0.28571429,0.28433177
17,1.36267839,0.36734694,0.41391941,0.32353510
18,1.31604588,0.38854003,0.28571429,0.26971483
19,1.31942541,0.36263736,0.33699634,0.31592714
20,1.33650896,0.32025118,0.43223443,0.33187583
21,1.28229672,0.40266876,0.36630037,0.34562629
22,1.32420505,0.38226060,0.31868132,0.31339036
23,1.29619083,0.39717425,0.42124542,0.36953686
24,1.26774818,0.38854003,0.45421245,0.38942541
25,1.27579336,0.40580848,0.43589744,0.38335856
26,1.27903268,0.40894819,0.43956044,0.35673402
27,1.24150594,0.42386185,0.38827839,0.28281286
28,1.24071159,0.44976452,0.42124542,0.37519590
29,1.19007833,0.45682889,0.46520147,0.38520295
30,1.28114846,0.44034537,0.42124542,0.36008177
31,1.25499711,0.43642072,0.42490842,0.33931906
32,1.27412468,0.41836735,0.48351648,0.42123579
33,1.22676099,0.44113030,0.36263736,0.30411949
34,1.20447662,0.47017268,0.33699634,0.24868903
35,1.17822507,0.49215071,0.57142857,0.49094535
36,1.14650161,0.49450549,0.42124542,0.34593457
37,1.16153681,0.46781790,0.41025641,0.38651249
38,1.14266898,0.48351648,0.54945055,0.46451824
39,1.21112472,0.47880691,0.49450549,0.40590308
40,1.13498301,0.51334380,0.38461538,0.32159986
41,1.07807620,0.50549451,0.39194139,0.36418687
42,1.05902588,0.53453689,0.37362637,0.26308020
43,1.06137971,0.55102041,0.44322344,0.36765863
44,1.02482460,0.53924647,0.45787546,0.38849249
45,1.06045168,0.52747253,0.48717949,0.40795257
46,1.05438546,0.54160126,0.45421245,0.38579931
47,0.99618335,0.56200942,0.57875458,0.50933466
48,0.98182560,0.58555730,0.57509158,0.47594428
49,0.96920930,0.58477237,0.50915751,0.42232350
50,0.91194127,0.61616954,0.58974359,0.50275482
