epoch,train_loss,train_accuracy,val_accuracy,val_macro_f1
1,1.44372695,0.32810047,0.31868132,0.12701346
2,1.25853831,0.37676609,0.32600733,0.12292818
3,1.22076665,0.43249608,0.35164835,0.16747830
4,1.20062014,0.43563579,0.42490842,0.32582571
5,1.15021624,0.50470958,0.48717949,0.35907458
6,1.09151653,0.50863422,0.46153846,0.34210896
7,1.05564346,0.55886970,0.43956044,0.31772868
8,0.98135363,0.59340659,0.49450549,0.36884537
9,0.93683815,0.62166405,0.49816850,0.37903609
10,0.86169091,0.64678179,0.47252747,0.35294350
11,0.76353908,0.70251177,0.49450549,0.36690034
12,0.73834886,0.71036107,0.54578755,0.40792270
13,0.75532292,0.71821036,0.52380952,0.40159181
14,0.61718041,0.78100471,0.52014652,0.42395757
15,0.52961807,0.81161695,0.52380952,0.38616905
16,0.51788479,0.80769231,0.57509158,0.44466188
17,0.51243375,0.81868132,0.49450549,0.35578388
18,0.45124828,0.84222920,0.49450549,0.34673203
19,0.42282272,0.84929356,0.55311355,0.43847895
20,0.41241114,0.85321821,0.56043956,0.47841456
21,0.31168179,0.89246468,0.53479853,0.40821530
22,0.28868141,0.90109890,0.50549451,0.39862299
23,0.29104901,0.90031397,0.53113553,0.38788184
24,0.20497971,0.92386185,0.54578755,0.41227364
25,0.26576519,0.90188383,0.51282051,0.42588951
26,0.23464505,0.91679749,0.53846154,0.42548116
27,0.22129800,0.92857143,0.56776557,0.43582856
28,0.18898451,0.94662480,0.50549451,0.38818909
29,0.18941733,0.93877551,0.52380952,0.44734281
30,0.16532739,0.93877551,0.53479853,0.42215802
31,0.16454475,0.94662480,0.54945055,0.41891204
32,0.15096070,0.94897959,0.55677656,0.46103865
33,0.13712356,0.95054945,0.56043956,0.39771862
34,0.13291428,0.95682889,0.59706960,0.49993234
35,0.12113192,0.96232339,0.60805861,0.46997036
36,0.09637504,0.97017268,0.60439560,0.46969049
37,0.09305215,0.97488226,0.60073260,0.45513164
38,0.07180556,0.97802198,0.57875458,0.45265753
39,0.06407325,0.98273155,0.62271062,0.47734521
40,0.08286038,0.97645212,0.60439560,0.46837443
41,0.07531916,0.97880691,0.54212454,0.48074613
42,0.07700571,0.97252747,0.58241758,0.44507789
43,0.05325698,0.98508634,0.59706960,0.44522129
44,0.06078559,0.98037677,0.60805861,0.45748299
45,0.05429339,0.98194662,0.59340659,0.45501649
46,0.04843876,0.98430141,0.58608059,0.45761018
47,0.04763237,0.98979592,0.57509158,0.44662969
48,0.04195094,0.98979592,0.60073260,0.46882468
49,0.04076240,0.98822606,0.59706960,0.46827090
50,0.03617593,0.98822606,0.56410256,0.44144705
