epoch,train_loss,train_accuracy,val_accuracy,val_macro_f1
1,1.79420612,0.35478807,0.27838828,0.11808812
2,1.25984863,0.38383046,0.30402930,0.23193224
3,1.21940313,0.41130298,0.40293040,0.29195989
4,1.20757836,0.42621664,0.46520147,0.33684158
5,1.19842146,0.43171115,0.42857143,0.32012396
6,1.18104360,0.45211931,0.45054945,0.34127186
7,1.16320590,0.44034537,0.45054945,0.33805538
8,1.15888285,0.45525903,0.49816850,0.38159994
9,1.14250501,0.47645212,0.52380952,0.39194567
10,1.11807390,0.50627943,0.52747253,0.40356239
11,1.10050469,0.53453689,0.53479853,0.40890259
12,1.09183951,0.52197802,0.56410256,0.42849267
13,1.07676225,0.52590267,0.42857143,0.30300000
14,1.07190456,0.54003140,0.60439560,0.45341957
15,1.00631248,0.58791209,0.55311355,0.42919863
16,0.98539238,0.59890110,0.66300366,0.50622036
17,0.96458380,0.61302983,0.58974359,0.44801230
18,0.93423690,0.61538462,0.50915751,0.36131930
19,0.90814600,0.64835165,0.65934066,0.50391786
20,0.86323530,0.66483516,0.54578755,0.37088232
21,0.89792880,0.65463108,0.58241758,0.42380779
22,0.84123314,0.65620094,0.53113553,0.38040117
23,0.83527277,0.68759812,0.72893773,0.56039952
24,0.70586388,0.73233909,0.71794872,0.53673549
25,0.73988616,0.73233909,0.75457875,0.57730258
26,0.66014440,0.76138148,0.79487179,0.60681818
27,0.56661021,0.79827316,0.83150183,0.64059274
28,0.53955965,0.81004710,0.80219780,0.61225646
29,0.54555264,0.82574568,0.75457875,0.57851693
30,0.51917719,0.81868132,0.75091575,0.57255312
31,0.46399048,0.84301413,0.82783883,0.64532980
32,0.41035496,0.86185243,0.80952381,0.62090130
33,0.41079725,0.85949765,0.77289377,0.59034926
34,0.41167244,0.86813187,0.75457875,0.57040118
35,0.42704328,0.85164835,0.75091575,0.60653471
36,0.42655399,0.84222920,0.80219780,0.61425897
37,0.41633435,0.85792779,0.82417582,0.66036420
38,0.39489551,0.85243328,0.82417582,0.66089078
39,0.33605184,0.87284144,0.83882784,0.67158826
40,0.34718673,0.87598116,0.82783883,0.64568661
41,0.33247624,0.88775510,0.85714286,0.71377037
42,0.32995199,0.88383046,0.83150183,0.70113229
43,0.29475833,0.89403454,0.85714286,0.65828762
44,0.26008495,0.90345369,0.87179487,0.76311439
45,0.29956612,0.89403454,0.80219780,0.61873829
46,0.27946880,0.89952904,0.78388278,0.67668439
47,0.24444022,0.91758242,0.86446886,0.73329510
48,0.23742028,0.92072214,0.77655678,0.65153200
49,0.24970020,0.90894819,0.85347985,0.66045517
50,0.24200350,0.92464678,0.84615385,0.67859249
