epoch,train_loss,train_accuracy,val_accuracy,val_macro_f1
1,1.70774640,0.33124019,0.38461538,0.23180099
2,1.29714271,0.36734694,0.36630037,0.22853360
3,1.28944188,0.37362637,0.37728938,0.26756639
4,1.27922321,0.38618524,0.41758242,0.29964127
5,1.23918897,0.40816327,0.42124542,0.32103576
6,1.21582240,0.42386185,0.46153846,0.34682540
7,1.20117554,0.44662480,0.43589744,0.32954971
8,1.18602017,0.44034537,0.43223443,0.30691853
9,1.17525998,0.50000000,0.57509158,0.44379326
10,1.12806973,0.50000000,0.46153846,0.32438086
11,1.10533638,0.51726845,0.52747253,0.39763239
12,1.11270348,0.51648352,0.54212454,0.40717306
13,1.08052825,0.54788069,0.40293040,0.23816075
14,1.01652058,0.58791209,0.57142857,0.43755428
15,0.99561711,0.59105181,0.65934066,0.50699003
16,0.92579538,0.63186813,0.64468864,0.49781073
17,0.88768430,0.63814757,0.67765568,0.50728082
18,0.87246917,0.65777080,0.59340659,0.43568562
19,0.84825118,0.67974882,0.65934066,0.48319204
20,0.80853029,0.69937206,0.64468864,0.49203258
21,0.75772400,0.72135008,0.63003663,0.48103663
22,0.69126638,0.76059655,0.67765568,0.49576959
23,0.67676060,0.75745683,0.71062271,0.54182765
24,0.61069204,0.79199372,0.78388278,0.59972790
25,0.63678200,0.77629513,0.79853480,0.61074983
26,0.59009660,0.78492936,0.81684982,0.62714636
27,0.51721911,0.82417582,0.79487179,0.61321430
28,0.51217344,0.81946625,0.80219780,0.61733792
29,0.50493561,0.82496075,0.81318681,0.62747264
30,0.49430714,0.81789639,0.80586081,0.62061337
31,0.47872120,0.83751962,0.80586081,0.61481484
32,0.44041164,0.85321821,0.83150183,0.64288462
33,0.41355768,0.86263736,0.81318681,0.62465876
34,0.43899669,0.84929356,0.78754579,0.62604198
35,0.43894282,0.84379906,0.80219780,0.61562638
36,0.45609395,0.84301413,0.86446886,0.66423952
37,0.37100217,0.87362637,0.84981685,0.65382628
38,0.38454432,0.87519623,0.82783883,0.63613603
39,0.35280688,0.88226060,0.83882784,0.65060784
40,0.34931392,0.88304553,0.86080586,0.71295335
41,0.33150215,0.88383046,0.83882784,0.64753417
42,0.32653528,0.88461538,0.84249084,0.64764285
43,0.30967388,0.89246468,0.81684982,0.62661882
44,0.27721400,0.90345369,0.86813187,0.69717726
45,0.29063282,0.89638932,0.83516484,0.67022775
46,0.25615342,0.91287284,0.86446886,0.69435830
47,0.20769072,0.93171115,0.86813187,0.71772774
48,0.19738530,0.93014129,0.85714286,0.70693808
49,0.19891062,0.93014129,0.85347985,0.68649590
50,0.18780925,0.93406593,0.85714286,0.70704926
