epoch,train_loss,train_accuracy,val_accuracy,val_macro_f1
1,1.66344035,0.30769231,0.42124542,0.31047297
2,1.29416217,0.39403454,0.43589744,0.31269509
3,1.27865985,0.36263736,0.43589744,0.30230692
4,1.25609767,0.40188383,0.42490842,0.30033908
5,1.20163344,0.47802198,0.49450549,0.37550850
6,1.21413343,0.47174254,0.37728938,0.27513345
7,1.18240401,0.47645212,0.47619048,0.34693483
8,1.15970289,0.49450549,0.62271062,0.47937857
9,1.11914301,0.52119309,0.56043956,0.39208981
10,1.12332033,0.52197802,0.54578755,0.41376786
11,1.10382582,0.53296703,0.60805861,0.45608675
12,1.04305670,0.59026688,0.59706960,0.42398073
13,0.99935895,0.59262166,0.50183150,0.35878419
14,0.96350286,0.62087912,0.65201465,0.49676520
15,0.84144653,0.70251177,0.34798535,0.14111127
16,0.83826774,0.68681319,0.71062271,0.52790341
17,0.72385208,0.75353218,0.78021978,0.60038562
18,0.69377131,0.74960754,0.66666667,0.50460727
19,0.59780678,0.78806907,0.77289377,0.62068635
20,0.58933440,0.79748823,0.79120879,0.60344760
21,0.56812444,0.79827316,0.70695971,0.52834410
22,0.53380083,0.79905808,0.82051282,0.63054688
23,0.52288585,0.81397174,0.77655678,0.59618259
24,0.54770735,0.81083203,0.73626374,0.55656462
25,0.54140112,0.81632653,0.82051282,0.63003096
26,0.45905099,0.83830455,0.78388278,0.59841780
27,0.46768578,0.83045526,0.80952381,0.62362783
28,0.41799392,0.85478807,0.84615385,0.64822677
29,0.41584813,0.85557300,0.78388278,0.60073072
30,0.44383881,0.83987441,0.77289377,0.59049997
31,0.38105179,0.86185243,0.82783883,0.63486056
32,0.36611197,0.88226060,0.84615385,0.65031126
33,0.35533070,0.88304553,0.84615385,0.64894857
34,0.32451160,0.88147567,0.83150183,0.64490404
35,0.35114072,0.86891680,0.84981685,0.65363254
36,0.34278956,0.88775510,0.79120879,0.60696667
37,0.33320676,0.87755102,0.83882784,0.64862599
38,0.29084676,0.89010989,0.84615385,0.65400187
39,0.29355879,0.89560440,0.85714286,0.68792787
40,0.30629777,0.89560440,0.84981685,0.65184694
41,0.31808621,0.87990581,0.83882784,0.70640203
42,0.27952715,0.90816327,0.84981685,0.70084198
43,0.23374813,0.91836735,0.81318681,0.62839906
44,0.23274849,0.91758242,0.83882784,0.67551899
45,0.23124657,0.92543171,0.87179487,0.67041150
46,0.22513398,0.91993721,0.84981685,0.72792323
47,0.20376693,0.92543171,0.83882784,0.65211640
48,0.22582065,0.91522763,0.84981685,0.68155658
49,0.22420997,0.91287284,0.84249084,0.67712506
50,0.19816584,0.92857143,0.83882784,0.69617117
