epoch,train_loss,train_accuracy,val_accuracy,val_macro_f1
1,1.43166728,0.33830455,0.37728938,0.21017699
2,1.31049750,0.37912088,0.35164835,0.22399905
3,1.28588410,0.37755102,0.39926740,0.28627784
4,1.27480355,0.36342229,0.41391941,0.29623549
5,1.26208469,0.37048666,0.42857143,0.31183096
6,1.23288686,0.39717425,0.45787546,0.33962468
7,1.22647967,0.41444270,0.48717949,0.36305551
8,1.22329416,0.41444270,0.48351648,0.36957985
9,1.20637139,0.43642072,0.52014652,0.37997824
10,1.19869078,0.45054945,0.48717949,0.37714114
11,1.19870736,0.45996860,0.47252747,0.35697559
12,1.18400887,0.48979592,0.53479853,0.40973056
13,1.15179460,0.51805338,0.44322344,0.32857298
14,1.14931402,0.49293564,0.43956044,0.30488254
15,1.07832183,0.55416013,0.34065934,0.15230412
16,1.08221285,0.55729984,0.57142857,0.44235533
17,1.08313802,0.56514914,0.59706960,0.45544560
18,1.01495061,0.60675039,0.63003663,0.48098086
19,0.97360795,0.61381476,0.64102564,0.48046992
20,0.91474999,0.63971743,0.59706960,0.42570814
21,0.82272950,0.70094192,0.55677656,0.36931043
22,0.74946965,0.73233909,0.57509158,0.42102406
23,0.68034392,0.74489796,0.68131868,0.50971517
24,0.64155481,0.75510204,0.75457875,0.57528455
25,0.53588250,0.80612245,0.73626374,0.53546274
26,0.56108391,0.78806907,0.78754579,0.59993543
27,0.52625090,0.80533752,0.83150183,0.63746233
28,0.51596274,0.82653061,0.83150183,0.64367642
29,0.49383147,0.83437991,0.79487179,0.61138017
30,0.40997205,0.85086342,0.81684982,0.62223890
31,0.40613227,0.86499215,0.84981685,0.65319736
32,0.41605000,0.85871272,0.84615385,0.65148647
33,0.39838903,0.85557300,0.82417582,0.63327982
34,0.41122986,0.84772370,0.83882784,0.64474163
35,0.36556838,0.87833595,0.85347985,0.65720704
36,0.33690904,0.88069074,0.84981685,0.65467297
37,0.29665797,0.90031397,0.86813187,0.66925156
38,0.31688030,0.89010989,0.87912088,0.67862597
39,0.28589910,0.90031397,0.83882784,0.64718548
40,0.29697836,0.89874411,0.86080586,0.66105169
41,0.28612447,0.89795918,0.86446886,0.66986939
42,0.27259379,0.90423862,0.76190476,0.64328310
43,0.26329107,0.90266876,0.84249084,0.64926348
44,0.23932720,0.91601256,0.78754579,0.62510788
45,0.26371683,0.90266876,0.86080586,0.70857851
46,0.23422952,0.91758242,0.85347985,0.65973921
47,0.21864968,0.91365777,0.83882784,0.64753709
48,0.22784899,0.91836735,0.87912088,0.68303860
49,0.21162609,0.92229199,0.85714286,0.68814375
50,0.20179609,0.93249608,0.85714286,0.65869825
