epoch,train_loss,train_accuracy,val_accuracy,val_macro_f1
1,1.21297314,0.53453689,0.76923077,0.58986647
2,0.47809798,0.84772370,0.75091575,0.57562872
3,0.31614353,0.89089482,0.87179487,0.66986446
4,0.24367103,0.91444270,0.87912088,0.70714990
5,0.20639490,0.93406593,0.89377289,0.74201151
6,0.12692805,0.96232339,0.91208791,0.81525002
7,0.10095606,0.96703297,0.91208791,0.80204357
8,0.06726996,0.97802198,0.90109890,0.77005554
9,0.06909053,0.97566719,0.91575092,0.81856515
10,0.06384565,0.97880691,0.90109890,0.72430643
11,0.04323989,0.98744113,0.88278388,0.67888697
12,0.04190694,0.98587127,0.88644689,0.68535672
