epoch,train_loss,train_accuracy,val_accuracy,val_macro_f1
1,1.35177920,0.45447410,0.74358974,0.57052456
2,0.75101593,0.74489796,0.73992674,0.57041188
3,0.49937790,0.81240188,0.84249084,0.67687730
4,0.38138757,0.85949765,0.80219780,0.71552230
5,0.36565381,0.89403454,0.88644689,0.76639104
6,0.23413843,0.90816327,0.88278388,0.76631666
7,0.17258103,0.93642072,0.90109890,0.80994065
8,0.14333507,0.95761381,0.89743590,0.80701523
9,0.15328248,0.94583987,0.86813187,0.77448680
10,0.10228091,0.95996860,0.86446886,0.76371018
11,0.06266920,0.98116170,0.88644689,0.79240607
12,0.08404791,0.97880691,0.90842491,0.81030430
