epoch,train_loss,train_accuracy,val_accuracy,val_macro_f1
1,1.77195109,0.24960754,0.27472527,0.20068807
2,1.57484249,0.31318681,0.28571429,0.19011450
3,1.45632264,0.33908948,0.36630037,0.26897443
4,1.44273975,0.35792779,0.39560440,0.29589406
5,1.40596866,0.37127159,0.45421245,0.34090422
6,1.34321079,0.39874411,0.48351648,0.36403837
7,1.29080815,0.42700157,0.52014652,0.39149491
8,1.28354207,0.43171115,0.56410256,0.43269842
9,1.20654498,0.47095761,0.59706960,0.45917531
10,1.20818337,0.46310832,0.62271062,0.47647544
11,1.15690497,0.48037677,0.62637363,0.47892461
12,1.13967087,0.50627943,0.63736264,0.49057519
