epoch,train_loss,train_accuracy,val_accuracy,val_macro_f1
1,1.62254864,0.33594976,0.70329670,0.60014696
2,0.90603384,0.66405024,0.82051282,0.63418721
3,0.55981450,0.80298273,0.82051282,0.63107134
4,0.42312201,0.86028257,0.84981685,0.68437508
5,0.34441065,0.87833595,0.88278388,0.67838480
6,0.27480762,0.90345369,0.88644689,0.68278411
7,0.22416594,0.91758242,0.89377289,0.71893543
8,0.17611784,0.94662480,0.88278388,0.70921447
9,0.16264853,0.94270016,0.89743590,0.72105716
10,0.12321971,0.95290424,0.90109890,0.72415890
11,0.09702367,0.97174254,0.91941392,0.76483507
12,0.08829889,0.97252747,0.90842491,0.72952616
