epoch,train_loss,train_accuracy,val_accuracy,val_macro_f1
1,0.97548086,0.60832025,0.72893773,0.58823407
2,0.34265410,0.87284144,0.79853480,0.61815963
3,0.25913880,0.90737834,0.87912088,0.74986888
4,0.17047966,0.94348509,0.87545788,0.70319405
5,0.15284598,0.95839874,0.86446886,0.72962072
6,0.10389043,0.96624804,0.89743590,0.76248595
7,0.08119204,0.97095761,0.89377289,0.74053659
8,0.05634843,0.98430141,0.90476190,0.74945022
9,0.05665792,0.98116170,0.90109890,0.77629097
10,0.04300227,0.98351648,0.90842491,0.78892826
11,0.04421204,0.98665620,0.90109890,0.74980806
12,0.03063314,0.98979592,0.89743590,0.76667631
