epoch,train_loss,train_accuracy,val_accuracy,val_macro_f1
1,1.07471322,0.57378336,0.77289377,0.59604095
2,0.47446136,0.85243328,0.81684982,0.68379717
3,0.30055347,0.89795918,0.88278388,0.68077199
4,0.21801854,0.92543171,0.89743590,0.72099785
5,0.16252887,0.95054945,0.89010989,0.71554621
6,0.11973141,0.96467818,0.90842491,0.75018364
7,0.09124469,0.96781790,0.89010989,0.75606998
8,0.08645667,0.97252747,0.90476190,0.76801764
9,0.07451381,0.97880691,0.88644689,0.73422865
10,0.06061898,0.98194662,0.90476190,0.79586988
11,0.05912820,0.98116170,0.89377289,0.77963528
12,0.05444932,0.98508634,0.89377289,0.77034031
