model_name,precision_target_1,recall_target_1,f1_target_1,accuracy,true_negative,false_positive,false_negative,true_positive,f1_delta_vs_baseline,converged
submitted_baseline,0.8013937282229965,0.7033639143730887,0.749185667752443,0.7977675640183848,755,114,194,460,0.0,True
unigrams_only,0.8013937282229965,0.7033639143730887,0.749185667752443,0.7977675640183848,755,114,194,460,0.0,True
tfidf_word_bigrams,0.7705479452054794,0.6880733944954128,0.7269789983844911,0.778069599474721,735,134,204,450,-0.022206669367951903,True
trigrams_added,0.7542087542087542,0.6850152905198776,0.717948717948718,0.7688772160210111,723,146,206,448,-0.031236949803725045,True
no_sublinear_tf,0.8013937282229965,0.7033639143730887,0.749185667752443,0.7977675640183848,755,114,194,460,0.0,True
max_features_20000,0.8013937282229965,0.7033639143730887,0.749185667752443,0.7977675640183848,755,114,194,460,0.0,True
max_features_unbounded,0.8013937282229965,0.7033639143730887,0.749185667752443,0.7977675640183848,755,114,194,460,0.0,True
min_df_2,0.8257713248638838,0.6957186544342507,0.7551867219917012,0.8063033486539725,773,96,199,455,0.00600105423925823,True
min_df_3,0.8242753623188406,0.6957186544342507,0.7545605306799337,0.8056467498358503,772,97,199,455,0.005374862927490676,True
min_df_5,0.8142857142857143,0.6972477064220184,0.7512355848434926,0.8017071569271176,765,104,198,456,0.0020499170910496245,True
max_df_0_9,0.8013937282229965,0.7033639143730887,0.749185667752443,0.7977675640183848,755,114,194,460,0.0,True
no_idf,0.7735849056603774,0.6896024464831805,0.7291835084882781,0.7800393959290873,737,132,203,451,-0.02000215926416493,True
no_smooth_idf,0.8017543859649123,0.6987767584097859,0.7467320261437909,0.7964543663821405,756,113,197,457,-0.002453641608652135,True
l1_normalization,0.8213333333333334,0.4709480122324159,0.5986394557823129,0.7288246881155613,802,67,346,308,-0.15054621197013007,True
no_vector_normalization,0.7963272120200334,0.7293577981651376,0.7613727055067837,0.8036769533814839,747,122,177,477,0.012187037754340713,True
unicode_accents,0.8013937282229965,0.7033639143730887,0.749185667752443,0.7977675640183848,755,114,194,460,0.0,True
single_character_tokens,0.7866894197952219,0.7048929663608563,0.7435483870967742,0.7912015758371634,744,125,193,461,-0.005637280655668819,True
tfidf_lowercase_false,0.7758318739054291,0.6773700305810397,0.723265306122449,0.7774130006565988,741,128,211,443,-0.025920361629994004,True
c_0_1,0.8455497382198953,0.4938837920489297,0.6235521235521235,0.7439264609323704,810,59,331,323,-0.12563354420031947,True
c_0_25,0.8101010101010101,0.6131498470948012,0.6979982593559617,0.7721602101116218,775,94,253,401,-0.05118740839648128,True
c_0_5,0.7944954128440367,0.6620795107033639,0.7222685571309424,0.7813525935653316,757,112,221,433,-0.026917110621500595,True
c_2,0.7970049916805324,0.7324159021406728,0.7633466135458168,0.8049901510177282,747,122,175,479,0.014160945793373791,True
c_4,0.7901639344262295,0.7370030581039755,0.7626582278481012,0.8030203545633617,741,128,172,482,0.013472560095658226,True
c_10,0.7774244833068362,0.7477064220183486,0.7622759158222915,0.7997373604727511,729,140,165,489,0.013090248069848487,True
balanced_classes,0.7443609022556391,0.7568807339449541,0.7505686125852918,0.7839789888378201,699,170,159,495,0.0013829448328488425,True
logreg_solver_liblinear,0.8,0.7033639143730887,0.7485760781122864,0.7971109652002626,754,115,194,460,-0.0006095896401565604,True
lbfgs_solver,0.8013937282229965,0.7033639143730887,0.749185667752443,0.7977675640183848,755,114,194,460,0.0,True
logreg_max_iter_1000,0.8013937282229965,0.7033639143730887,0.749185667752443,0.7977675640183848,755,114,194,460,0.0,True
seed_1,0.8013937282229965,0.7033639143730887,0.749185667752443,0.7977675640183848,755,114,194,460,0.0,True
seed_42,0.8013937282229965,0.7033639143730887,0.749185667752443,0.7977675640183848,755,114,194,460,0.0,True
logreg_seed_9999,0.8013937282229965,0.7033639143730887,0.749185667752443,0.7977675640183848,755,114,194,460,0.0,True
logreg_explicit_l2,0.8013937282229965,0.7033639143730887,0.749185667752443,0.7977675640183848,755,114,194,460,0.0,True
leaky_tfidf_train_plus_dev,0.8382066276803118,0.6574923547400612,0.7369323050556984,0.7984241628365069,786,83,224,430,-0.012253362696744596,True
