variant,classifier_family,C,class_weight,decision_threshold,intended_lever,precision_target_1,recall_target_1,f1_target_1,accuracy,f1_delta_percentage_points,candidate_label
lr_c1_unweighted_default,logistic_regression,1,,0.5,control,0.7909407665505227,0.69312977099236639,0.73881204231082176,0.78923177938279709,0,LR C=1
lr_c025_unweighted_default,logistic_regression,0.25,,0.5,regularization,0.81113320079522866,0.62290076335877864,0.70466321243523311,0.77544320420223245,-3.4148829875588649,LR C=.25
lr_c05_unweighted_default,logistic_regression,0.5,,0.5,regularization,0.79136690647482011,0.6717557251908397,0.72667217175887699,0.78266579120157587,-1.2139870551944765,LR C=.5
lr_c2_unweighted_default,logistic_regression,2,,0.5,regularization,0.79386712095400336,0.71145038167938934,0.75040257648953301,0.79645436638214051,1.1590534178711254,LR C=2
lr_c4_unweighted_default,logistic_regression,4,,0.5,regularization,0.78655462184873948,0.71450381679389308,0.74880000000000002,0.79382797110965198,0.99879576891782618,LR C=4
lr_c5_unweighted_default,logistic_regression,5,,0.5,regularization,0.78239202657807305,0.7190839694656489,0.74940334128878283,0.7931713722915299,1.0591298977961072,LR C=5
lr_c10_unweighted_default,logistic_regression,10,,0.5,regularization,0.77777777777777779,0.71603053435114505,0.74562798092209859,0.78988837820091928,0.68159386112768283,LR C=10
lr_c1_balanced_default,logistic_regression,1,balanced,0.5,class_weight,0.74698795180722888,0.75725190839694656,0.75208491281273693,0.7852921864740644,1.3272870501915168,Bal. LR C=1
lr_c5_balanced_default,logistic_regression,5,balanced,0.5,class_weight_and_regularization,0.75154320987654322,0.74351145038167943,0.74750575594781277,0.78397898883782013,0.86937136369910073,Bal. LR C=5
lr_c10_balanced_default,logistic_regression,10,balanced,0.5,class_weight_and_regularization,0.75384615384615383,0.74809160305343514,0.75095785440613028,0.78660538411030856,1.2145812095308517,Bal. LR C=10
linear_svc_c1_default,linear_svc,1,,0,second_classifier,0.77280265339966836,0.71145038167938934,0.74085850556438793,0.78594878529218648,0.20464632535661664,LinearSVC
lr_c1_unweighted_tuned_threshold,logistic_regression,1,,0.46999999999999997,threshold,0.77704918032786885,0.72366412213740461,0.74940711462450593,0.79185817465528563,1.0595072313684173,LR t=.47
