ticket,split,model_name,tn,fp,fn,tp
1,dev,raw_text_tfidf_logistic_regression,748,120,201,454
1,heldout,raw_text_tfidf_logistic_regression,755,114,194,460
2,dev,normalize_urls_placeholder,759,109,206,449
2,heldout,normalize_urls_placeholder,773,96,201,453
3,dev,raw_text_tfidf_logistic_regression,748,120,201,454
3,heldout,raw_text_tfidf_logistic_regression,755,114,194,460
4,dev,lr_c1_balanced_default,700,168,159,496
4,heldout,lr_c1_balanced_default,699,170,159,495
5,dev,lr_c1_balanced_default,700,168,159,496
5,heldout,lr_c1_balanced_default,699,170,159,495
