split,variant,precision_target_1,recall_target_1,f1_target_1,accuracy,true_negative,false_positive,false_negative,true_positive,f1_delta_vs_frozen_baseline,prediction_changes,fixed_fp,fixed_fn,new_fp,new_fn,converged,n_iter,keyword_mask_changed_predictions,keyword_mask_f1,neutralized_changed_predictions,neutralized_f1
dev,train_majority_floor,0,0,0,0.56992777413000661,868,0,655,0,-0.73881204231082176,574,120,0,0,454,True,,,,,
dev,raw_text_tfidf_logistic_regression,0.7909407665505227,0.69312977099236639,0.73881204231082176,0.78923177938279709,748,120,201,454,0,0,0,0,0,0,True,[15],,,99,0.72105263157894739
dev,keyword_only,0.67961165048543692,0.64122137404580148,0.6598586017282011,0.71569271175311888,670,198,235,420,-0.078953440582620604,378,62,71,140,105,True,[8],905,0.6014692378328742,,
dev,length_only,0.53658536585365857,0.3694656488549618,0.43761301989150092,0.59159553512803675,659,209,413,242,-0.30119902241932078,515,69,38,158,250,True,[9],,,297,0.24911032028469751
dev,keyword_plus_length,0.70169491525423733,0.63206106870229006,0.66506024096385541,0.72619829284307291,692,176,241,414,-0.073751801346966295,338,62,59,118,99,True,[26],929,0.60165593376264948,125,0.62056737588652477
dev,location_only,0.58333333333333337,0.1389312977099236,0.2244143033292231,0.58699934340118187,803,65,564,91,-0.51439773898159857,548,106,14,51,377,True,[31],,,,
dev,keyword_plus_location,0.69491525423728817,0.62595419847328249,0.65863453815261042,0.72094550229809584,688,180,245,410,-0.080177504158211302,380,69,69,129,113,True,[32],902,0.60326340326340322,,
dev,selected_shallow_only,0.62396694214876036,0.46106870229007629,0.53028972783143113,0.6487196323046619,686,182,353,302,-0.2085223144793906,442,68,46,130,198,True,[14],1003,0.60504201680672265,242,0.52015810276679841
dev,text_plus_keyword,0.76744186046511631,0.70534351145038165,0.73508353221957046,0.7813525935653316,728,140,193,462,-0.0037285100912512999,148,35,33,55,25,True,[10],468,0.68035190615835772,77,0.71404399323181045
dev,text_plus_selected_shallow_features,0.79351535836177478,0.70992366412213737,0.74939564867042707,0.79579776756401843,747,121,190,465,0.010583606359605299,164,41,46,42,35,True,[81],702,0.64230571281523419,82,0.73306772908366535
