split,variant,classifier_family,C,class_weight,decision_threshold,intended_lever,precision_target_1,recall_target_1,f1_target_1,accuracy,true_negative,false_positive,false_negative,true_positive,prediction_changes,fixed_fp,fixed_fn,new_fp,new_fn,converged,n_iter
dev,lr_c1_unweighted_default,logistic_regression,1,,0.5,control,0.7909407665505227,0.69312977099236639,0.73881204231082176,0.78923177938279709,748,120,201,454,0,0,0,0,0,True,[15]
dev,lr_c025_unweighted_default,logistic_regression,0.25,,0.5,regularization,0.81113320079522866,0.62290076335877864,0.70466321243523311,0.77544320420223245,773,95,247,408,93,31,5,6,51,True,[6]
dev,lr_c05_unweighted_default,logistic_regression,0.5,,0.5,regularization,0.79136690647482011,0.6717557251908397,0.72667217175887699,0.78266579120157587,752,116,215,440,32,8,3,4,17,True,[13]
dev,lr_c2_unweighted_default,logistic_regression,2,,0.5,regularization,0.79386712095400336,0.71145038167938934,0.75040257648953301,0.79645436638214051,747,121,189,466,37,8,16,9,4,True,[22]
dev,lr_c4_unweighted_default,logistic_regression,4,,0.5,regularization,0.78655462184873948,0.71450381679389308,0.74880000000000002,0.79382797110965198,741,127,187,468,67,15,22,22,8,True,[19]
dev,lr_c5_unweighted_default,logistic_regression,5,,0.5,regularization,0.78239202657807305,0.7190839694656489,0.74940334128878283,0.7931713722915299,737,131,184,471,72,14,25,25,8,True,[20]
dev,lr_c10_unweighted_default,logistic_regression,10,,0.5,regularization,0.77777777777777779,0.71603053435114505,0.74562798092209859,0.78988837820091928,734,134,186,469,95,20,28,34,13,True,[15]
dev,lr_c1_balanced_default,logistic_regression,1,balanced,0.5,class_weight,0.74698795180722888,0.75725190839694656,0.75208491281273693,0.7852921864740644,700,168,159,496,90,0,42,48,0,True,[10]
dev,lr_c5_balanced_default,logistic_regression,5,balanced,0.5,class_weight_and_regularization,0.75154320987654322,0.74351145038167943,0.74750575594781277,0.78397898883782013,707,161,168,487,94,6,37,47,4,True,[19]
dev,lr_c10_balanced_default,logistic_regression,10,balanced,0.5,class_weight_and_regularization,0.75384615384615383,0.74809160305343514,0.75095785440613028,0.78660538411030856,708,160,165,490,108,11,41,51,5,True,[20]
dev,linear_svc_c1_default,linear_svc,1,,0,second_classifier,0.77280265339966836,0.71145038167938934,0.74085850556438793,0.78594878529218648,731,137,189,466,111,26,27,43,15,True,[43]
dev,lr_c1_unweighted_tuned_threshold,logistic_regression,1,,0.46999999999999997,threshold,0.77704918032786885,0.72366412213740461,0.74940711462450593,0.79185817465528563,732,136,181,474,36,0,20,16,0,True,[15]
