probe,single_factor,setting,random_state,vocabulary_size,dev_precision_target_1,dev_recall_target_1,dev_f1_target_1,heldout_precision_target_1,heldout_recall_target_1,heldout_f1_target_1,dev_delta_from_baseline,heldout_delta_from_baseline,difference_from_reference,iterations
balanced_classes,class_weight,{'class_weight': 'balanced'},3102,40000,0.729850746269,0.746564885496,0.738113207547,0.730941704036,0.747706422018,0.739229024943,0.0040792544348,0.00724521927529,-0.0181931329133,5
c_0_1,C,{'C': 0.1},3102,40000,0.83950617284,0.415267175573,0.555669050051,0.863492063492,0.415902140673,0.561403508772,-0.178364903061,-0.170580296896,-0.196018649085,3
c_0_25,C,{'C': 0.25},3102,40000,0.803278688525,0.598473282443,0.685914260717,0.79587628866,0.590214067278,0.677787532924,-0.048119692395,-0.0541962727444,-0.079634624933,4
c_0_5,C,{'C': 0.5},3102,40000,0.785063752277,0.658015267176,0.715946843854,0.778181818182,0.654434250765,0.71096345515,-0.0180871092585,-0.0210203505185,-0.0464587027071,4
c_10,C,{'C': 10.0},3102,40000,0.773462783172,0.729770992366,0.750981932443,0.764612954186,0.74006116208,0.752136752137,0.0169479793307,0.0201529464687,-0.00528540571987,6
c_2,C,{'C': 2.0},3102,40000,0.776490066225,0.716030534351,0.745035742653,0.785357737105,0.721712538226,0.75219123506,0.0110017895405,0.0202074293917,-0.00523092279686,5
c_4,C,{'C': 4.0},3102,40000,0.771241830065,0.720610687023,0.745067087609,0.77616747182,0.737003058104,0.756078431373,0.0110331344962,0.0240946257045,-0.00134372648408,5
l1_normalization,norm,{'norm': 'l1'},3102,40000,0.801242236025,0.196946564885,0.316176470588,0.804195804196,0.175840978593,0.288582183187,-0.417857482524,-0.443401622481,-0.46883997467,7
lbfgs_solver,solver,{'solver': 'lbfgs'},3102,40000,0.780068728522,0.693129770992,0.734033953112,0.775684931507,0.692660550459,0.73182552504,0,-0.000158280627629,-0.0255966328162,25
max_df_0_9,max_df,{'max_df': 0.9},3102,40000,0.780068728522,0.693129770992,0.734033953112,0.777969018933,0.691131498471,0.731983805668,0,0,-0.0254383521886,5
max_features_20000,max_features,{'max_features': 20000},3102,20000,0.789103690685,0.685496183206,0.733660130719,0.801065719361,0.689602446483,0.741166803615,-0.000373822393414,0.00918299794743,-0.0162553542412,5
max_features_unbounded,max_features,{'max_features': None},3102,59940,0.775510204082,0.696183206107,0.733708769107,0.757575757576,0.688073394495,0.721153846154,-0.000325184005369,-0.0108299595142,-0.0362683117028,5
min_df_2,min_df,{'min_df': 2},3102,11526,0.817005545287,0.674809160305,0.739130434783,0.824953445065,0.677370030581,0.743912678421,0.00509648167024,0.0119288727535,-0.0135094794351,4
min_df_3,min_df,{'min_df': 3},3102,6097,0.824299065421,0.673282442748,0.741176470588,0.82962962963,0.68501529052,0.750418760469,0.00714251747587,0.018434954801,-0.00700339738761,5
min_df_5,min_df,{'min_df': 5},3102,3108,0.815837937385,0.676335877863,0.739565943239,0.818518518519,0.675840978593,0.740368509213,0.00553199012636,0.00838470354471,-0.0170536486439,5
no_idf,use_idf,{'use_idf': False},3102,40000,0.747540983607,0.696183206107,0.720948616601,0.753311258278,0.695718654434,0.723370429253,-0.0130853365116,-0.00861337641523,-0.0340517286038,5
no_smooth_idf,smooth_idf,{'smooth_idf': False},3102,40000,0.777397260274,0.693129770992,0.732849071832,0.775300171527,0.691131498471,0.730800323363,-0.00118488128025,-0.00118348230504,-0.0266218344937,5
no_sublinear_tf,sublinear_tf,{'sublinear_tf': False},3102,40000,0.782986111111,0.688549618321,0.732737611698,0.781468531469,0.683486238532,0.729200652529,-0.00129634141456,-0.00278315313947,-0.0282215053281,4
no_vector_normalization,norm,{'norm': None},3102,40000,0.812844036697,0.676335877863,0.738333333333,0.81914893617,0.706422018349,0.758620689655,0.00429938022096,0.0266368839872,0.00119853179855,8
preserve_case,casing,{'casing': 'preserve'},3102,40000,0.758503401361,0.680916030534,0.717618664521,0.749574105622,0.672782874618,0.709105560032,-0.016415288591,-0.0228782456358,-0.0483165978244,5
seed_1,random_state,{'random_state': 1},1,40000,0.780068728522,0.693129770992,0.734033953112,0.777969018933,0.691131498471,0.731983805668,0,0,-0.0254383521886,5
seed_42,random_state,{'random_state': 42},42,40000,0.780068728522,0.693129770992,0.734033953112,0.777969018933,0.691131498471,0.731983805668,0,0,-0.0254383521886,5
single_character_tokens,token_pattern,{'token_pattern': '(?u)\b\w+\b'},3102,40000,0.763513513514,0.690076335878,0.724939855654,0.774744027304,0.694189602446,0.732258064516,-0.0090940974588,0.000274258848113,-0.0251640933405,5
submitted_baseline,none,frozen configuration,3102,40000,0.780068728522,0.693129770992,0.734033953112,0.777969018933,0.691131498471,0.731983805668,0,0,-0.0254383521886,5
trigrams_added,ngram_range,"{'ngram_range': (1, 3)}",3102,40000,0.779130434783,0.683969465649,0.728455284553,0.789752650177,0.683486238532,0.732786885246,-0.00557866855952,0.000803079577885,-0.0246352726107,5
unicode_accents,strip_accents,{'strip_accents': 'unicode'},3102,40000,0.777777777778,0.69465648855,0.733870967742,0.779896013865,0.688073394495,0.731112916328,-0.000162985370433,-0.000870889339828,-0.0263092415284,5
unigrams_only,ngram_range,"{'ngram_range': (1, 1)}",3102,15269,0.790940766551,0.693129770992,0.738812042311,0.802083333333,0.706422018349,0.751219512195,0.00477808919845,0.0192357065271,-0.0062026456615,5
