ticket,model_name,experiment_type,dev_f1_target_1,heldout_f1_target_1,threshold
ticket-1,lbfgs_solver,diagnostic_probe,0.734033953112,0.73182552504,0.5
ticket-1,majority_floor,floor,0,0,0.5
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,baseline,0.734033953112,0.731983805668,0.5
ticket-1,unigrams_only,diagnostic_probe,0.738812042311,0.751219512195,0.5
ticket-2,emoji_remove,single_normalization_lever,0.734033953112,,0.5
ticket-2,emoji_replace,single_normalization_lever,0.734033953112,,0.5
ticket-2,hashtag_remove,single_normalization_lever,0.736166800321,,0.5
ticket-2,hashtag_strip,single_normalization_lever,0.734033953112,,0.5
ticket-2,mention_remove,single_normalization_lever,0.73166800967,,0.5
ticket-2,mention_replace,single_normalization_lever,0.732576985413,,0.5
ticket-2,preserve_case,single_normalization_lever,0.717618664521,,0.5
ticket-2,punct_remove,single_normalization_lever,0.734033953112,,0.5
ticket-2,punct_repeat,single_normalization_lever,0.734033953112,,0.5
ticket-2,raw,single_normalization_lever,0.734033953112,,0.5
ticket-2,url_remove,single_normalization_lever,0.734867860188,,0.5
ticket-2,url_replace,single_normalization_lever,0.737104825291,,0.5
ticket-3,keyword,feature_ablation,0.659858601728,,0.5
ticket-3,keyword_plus_location,feature_ablation,0.665634674923,,0.5
ticket-3,location,feature_ablation,0.162729658793,,0.5
ticket-3,numeric,feature_ablation,0.527510917031,,0.5
ticket-3,text,feature_ablation,0.734033953112,,0.5
ticket-3,text_plus_keyword,feature_ablation,0.720948616601,,0.5
ticket-3,text_plus_numeric,feature_ablation,0.729950900164,,0.5
ticket-4,linear_svc_c1,alternative_classifier,0.752351097179,,0
ticket-4,lr_c0.1_balanced_t0.50,model_threshold,0.694814814815,,0.5
ticket-4,lr_c0.1_none_t0.43,model_threshold,0.692196531792,,0.43
ticket-4,lr_c0.25_balanced_t0.49,model_threshold,0.714492753623,,0.49
ticket-4,lr_c0.25_none_t0.44,model_threshold,0.710112359551,,0.44
ticket-4,lr_c0.5_balanced_t0.54,model_threshold,0.726247987118,,0.54
ticket-4,lr_c0.5_none_t0.45,model_threshold,0.725341426404,,0.45
ticket-4,lr_c10_balanced_t0.56,model_threshold,0.753577106518,,0.56
ticket-4,lr_c10_none_t0.52,model_threshold,0.752791068581,,0.52
ticket-4,lr_c1_balanced_t0.51,model_threshold,0.743335872049,,0.51
ticket-4,lr_c1_none_t0.46,model_threshold,0.745007680492,,0.46
ticket-4,lr_c2_balanced_t0.51,model_threshold,0.745814307458,,0.51
ticket-4,lr_c2_none_t0.46,model_threshold,0.747320061256,,0.46
ticket-4,lr_c4_balanced_t0.49,model_threshold,0.752994011976,,0.49
ticket-4,lr_c4_none_t0.45,model_threshold,0.753012048193,,0.45
