ticket,threshold,precision_target_1,recall_target_1,f1_target_1,tp,fp,tn,fn,predicted_positive_count
ticket-4,0.1,0.435709526982,0.998473282443,0.60667903525,654,847,21,1,1501
ticket-4,0.11,0.437877770316,0.995419847328,0.608208955224,652,837,31,3,1489
ticket-4,0.12,0.440243079001,0.995419847328,0.610486891386,652,829,39,3,1481
ticket-4,0.13,0.444747612551,0.995419847328,0.614804337577,652,814,54,3,1466
ticket-4,0.14,0.4477303989,0.993893129771,0.617354196302,651,803,65,4,1454
ticket-4,0.15,0.451075641915,0.992366412214,0.620229007634,650,791,77,5,1441
ticket-4,0.16,0.456720619282,0.990839694656,0.625240847784,649,772,96,6,1421
ticket-4,0.17,0.461867426942,0.989312977099,0.629737609329,648,755,113,7,1403
ticket-4,0.18,0.465367965368,0.984732824427,0.63204311612,645,741,127,10,1386
ticket-4,0.19,0.471449487555,0.98320610687,0.637308263236,644,722,146,11,1366
ticket-4,0.2,0.476119402985,0.974045801527,0.639598997494,638,702,166,17,1340
ticket-4,0.21,0.485867074102,0.970992366412,0.647657841141,636,673,195,19,1309
ticket-4,0.22,0.495260663507,0.957251908397,0.652785007808,627,639,229,28,1266
ticket-4,0.23,0.500802568218,0.952671755725,0.656496580747,624,622,246,31,1246
ticket-4,0.24,0.512841756421,0.945038167939,0.664876476907,619,588,280,36,1207
ticket-4,0.25,0.522071307301,0.93893129771,0.671031096563,615,563,305,40,1178
ticket-4,0.26,0.530078465562,0.928244274809,0.674805771365,608,539,329,47,1147
ticket-4,0.27,0.537710736469,0.925190839695,0.680134680135,606,521,347,49,1127
ticket-4,0.28,0.549037580202,0.914503816794,0.686139747995,599,492,376,56,1091
ticket-4,0.29,0.554307116105,0.903816793893,0.687173534533,592,476,392,63,1068
ticket-4,0.3,0.565764023211,0.893129770992,0.692717584369,585,449,419,70,1034
ticket-4,0.31,0.573,0.874809160305,0.692447129909,573,427,441,82,1000
ticket-4,0.32,0.581799591002,0.868702290076,0.696876913656,569,409,459,86,978
ticket-4,0.33,0.593650793651,0.856488549618,0.70125,561,384,484,94,945
ticket-4,0.34,0.610318331504,0.848854961832,0.710089399745,556,355,513,99,911
ticket-4,0.35,0.620495495495,0.841221374046,0.714193130266,551,337,531,104,888
ticket-4,0.36,0.62817551963,0.830534351145,0.715318869165,544,322,546,111,866
ticket-4,0.37,0.642431466031,0.822900763359,0.721552878179,539,300,568,116,839
ticket-4,0.38,0.653562653563,0.812213740458,0.724302246426,532,282,586,123,814
ticket-4,0.39,0.662060301508,0.804580152672,0.726395589249,527,269,599,128,796
ticket-4,0.4,0.674388674389,0.8,0.731843575419,524,253,615,131,777
ticket-4,0.41,0.68253968254,0.787786259542,0.731396172927,516,240,628,139,756
ticket-4,0.42,0.696428571429,0.774045801527,0.733188720174,507,221,647,148,728
ticket-4,0.43,0.703966005666,0.758778625954,0.730345334313,497,209,659,158,706
ticket-4,0.44,0.720176730486,0.746564885496,0.733133433283,489,190,678,166,679
ticket-4,0.45,0.738275340393,0.745038167939,0.741641337386,488,173,695,167,661
ticket-4,0.46,0.75,0.741984732824,0.745970836531,486,162,706,169,648
ticket-4,0.47,0.752365930599,0.728244274809,0.740108611327,477,157,711,178,634
ticket-4,0.48,0.761750405186,0.717557251908,0.738993710692,470,147,721,185,617
ticket-4,0.49,0.768067226891,0.697709923664,0.7312,457,138,730,198,595
ticket-4,0.5,0.780068728522,0.693129770992,0.734033953112,454,128,740,201,582
ticket-4,0.51,0.786971830986,0.682442748092,0.730989370401,447,121,747,208,568
ticket-4,0.52,0.794223826715,0.671755725191,0.727874276261,440,114,754,215,554
ticket-4,0.53,0.799628942486,0.658015267176,0.721943048576,431,108,760,224,539
ticket-4,0.54,0.80694980695,0.638167938931,0.712702472293,418,100,768,237,518
ticket-4,0.55,0.819801980198,0.632061068702,0.713793103448,414,91,777,241,505
ticket-4,0.56,0.831275720165,0.61679389313,0.708150744961,404,82,786,251,486
ticket-4,0.57,0.835073068894,0.610687022901,0.705467372134,400,79,789,255,479
ticket-4,0.58,0.843817787419,0.593893129771,0.697132616487,389,72,796,266,461
ticket-4,0.59,0.845982142857,0.578625954198,0.687216681777,379,69,799,276,448
ticket-4,0.6,0.864168618267,0.563358778626,0.682070240296,369,58,810,286,427
ticket-4,0.61,0.870192307692,0.552671755725,0.676003734827,362,54,814,293,416
ticket-4,0.62,0.872235872236,0.541984732824,0.668549905838,355,52,816,300,407
ticket-4,0.63,0.878481012658,0.529770992366,0.660952380952,347,48,820,308,395
ticket-4,0.64,0.88219895288,0.514503816794,0.649951783992,337,45,823,318,382
ticket-4,0.65,0.889189189189,0.502290076336,0.641951219512,329,41,827,326,370
ticket-4,0.66,0.900284900285,0.482442748092,0.628230616302,316,35,833,339,351
ticket-4,0.67,0.90990990991,0.462595419847,0.613360323887,303,30,838,352,333
ticket-4,0.68,0.909657320872,0.445801526718,0.598360655738,292,29,839,363,321
ticket-4,0.69,0.921768707483,0.413740458015,0.571127502634,271,23,845,384,294
ticket-4,0.7,0.932142857143,0.398473282443,0.558288770053,261,19,849,394,280
ticket-4,0.71,0.949612403101,0.374045801527,0.536692223439,245,13,855,410,258
ticket-4,0.72,0.95041322314,0.351145038168,0.512820512821,230,12,856,425,242
ticket-4,0.73,0.951754385965,0.331297709924,0.491506228766,217,11,857,438,228
ticket-4,0.74,0.953271028037,0.311450381679,0.469505178366,204,10,858,451,214
ticket-4,0.75,0.959798994975,0.291603053435,0.447306791569,191,8,860,464,199
ticket-4,0.76,0.956989247312,0.271755725191,0.423305588585,178,8,860,477,186
