model_name,family,C,class_weight,threshold,dev_precision_target_1,dev_recall_target_1,dev_f1_target_1,selected
lr_c0.1_none_t0.43,lr,0.1,none,0.43,0.657064471879,0.731297709924,0.692196531792,False
lr_c0.1_balanced_t0.50,lr,0.1,balanced,0.5,0.674351585014,0.714503816794,0.693847294292,False
lr_c0.25_none_t0.42,lr,0.25,none,0.42,0.662698412698,0.764885496183,0.710134656272,False
lr_c0.25_balanced_t0.49,lr,0.25,balanced,0.49,0.68,0.752671755725,0.714492753623,False
lr_c0.5_none_t0.45,lr,0.5,none,0.45,0.720965309201,0.729770992366,0.725341426404,False
lr_c0.5_balanced_t0.54,lr,0.5,balanced,0.54,0.768313458262,0.688549618321,0.726247987118,False
lr_c1_balanced_t0.51,lr,1,balanced,0.51,0.741641337386,0.745038167939,0.743335872049,False
lr_c1_none_t0.46,lr,1,none,0.46,0.75,0.741984732824,0.745970836531,False
lr_c2_balanced_t0.51,lr,2,balanced,0.51,0.744680851064,0.748091603053,0.746382330541,False
lr_c2_none_t0.46,lr,2,none,0.46,0.75,0.746564885496,0.748278500383,False
lr_c4_balanced_t0.49,lr,4,balanced,0.49,0.738235294118,0.76641221374,0.752059925094,False
linear_svc_c1,svc,1,none,0,0.772946859903,0.732824427481,0.752351097179,False
lr_c4_none_t0.45,lr,4,none,0.45,0.741839762611,0.763358778626,0.752445447705,False
lr_c10_none_t0.52,lr,10,none,0.52,0.787979966611,0.720610687023,0.752791068581,False
lr_c10_balanced_t0.56,lr,10,balanced,0.56,0.786069651741,0.723664122137,0.753577106518,True
