ticket,model_name,feature,coefficient,direction
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:you,-3.61114985436,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:my,-3.03655888326,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:new,-1.83608930935,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:full,-1.30003013994,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:body,-1.29766272126,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:me,-1.28014243638,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:wrecked,-1.2188387571,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:all,-1.17943251984,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:he,-1.15600424592,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:your,-1.15416622654,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:love,-1.14992795459,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:bags,-1.05712970746,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:can,-1.0542291452,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:song,-1.03919300532,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:so,-1.03385440257,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:out,-0.994919812514,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:it,-0.99138071209,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:or,-0.98422974923,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:and,-0.952985751742,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:screams,-0.945106600679,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:crush,-0.931840449366,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:she,-0.91933415988,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:his,-0.91405205742,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:youtube,-0.892702330328,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:crushed,-0.887234652973,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:blew,-0.886067339715,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:ruin,-0.883920535931,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:is,-0.87626075135,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:screaming,-0.872203721239,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:traumatised,-0.870064263814,negative
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:were,1.21274292256,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:crash,1.22272525957,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:terrorism,1.23550140587,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:derailment,1.27470492704,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:drought,1.28163539643,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:on,1.28564919627,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:mh370,1.33932717448,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:after,1.3679738934,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:earthquake,1.3777741644,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:at,1.3975547322,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:bombing,1.40793230197,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:buildings,1.42141896963,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:typhoon,1.43721028706,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:mass,1.48994877835,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:killed,1.51874312056,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:storm,1.56620390244,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:police,1.5834001818,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:over,1.6992915404,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:suicide,1.72639409972,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:disaster,1.76645303069,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:of,1.8519523264,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:co,1.87889468376,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:train,2.03175642071,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:fire,2.09237951023,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:fires,2.09591675532,positive
ticket-1,tfidf_12_sublinear_lr_liblinear_c1,text:hiroshima,2.19247223216,positive
